--------- beginning of system
I/Vold    (  150): Vold 2.1 (the revenge) firing up
D/VoldCmdListener(  150): cryptfs mountdefaultencrypted
D/ConnectivityService(  471): releasing NetworkRequest NetworkRequest [ id=23, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
D/ConnectivityService(  471): ConnectivityService NetworkRequestInfo binderDied(NetworkRequest [ id=25, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ], android.os.BinderProxy@1f341bf4)
E/ConnectivityService(  471): RemoteException caught trying to send a callback msg for NetworkRequest [ id=23, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
D/ConnectivityService(  471): releasing NetworkRequest NetworkRequest [ id=25, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
E/ConnectivityService(  471): RemoteException caught trying to send a callback msg for NetworkRequest [ id=25, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
W/WindowManager(  471): Failed looking up window
W/WindowManager(  471): java.lang.IllegalArgumentException: Requested window android.os.BinderProxy@3bdd8169 does not exist
W/WindowManager(  471): 	at com.android.server.wm.WindowManagerService.windowForClientLocked(WindowManagerService.java:8539)
W/WindowManager(  471): 	at com.android.server.wm.WindowManagerService.windowForClientLocked(WindowManagerService.java:8530)
W/WindowManager(  471): 	at com.android.server.wm.WindowState$DeathRecipient.binderDied(WindowState.java:1142)
W/WindowManager(  471): 	at android.os.BinderProxy.sendDeathNotice(Binder.java:551)
I/WindowState(  471): WIN DEATH: null
W/ActivityManager(  471): Exception when unbinding service com.android.chrome/org.chromium.content.app.SandboxedProcessService2
W/ActivityManager(  471): android.os.DeadObjectException
W/ActivityManager(  471): 	at android.os.BinderProxy.transactNative(Native Method)
W/ActivityManager(  471): 	at android.os.BinderProxy.transact(Binder.java:496)
W/ActivityManager(  471): 	at android.app.ApplicationThreadProxy.scheduleUnbindService(ApplicationThreadNative.java:921)
W/ActivityManager(  471): 	at com.android.server.am.ActiveServices.removeConnectionLocked(ActiveServices.java:1795)
W/ActivityManager(  471): 	at com.android.server.am.ActiveServices.killServicesLocked(ActiveServices.java:2193)
W/ActivityManager(  471): 	at com.android.server.am.ActivityManagerService.cleanUpApplicationRecordLocked(ActivityManagerService.java:14895)
W/ActivityManager(  471): 	at com.android.server.am.ActivityManagerService.handleAppDiedLocked(ActivityManagerService.java:4552)
W/ActivityManager(  471): 	at com.android.server.am.ActivityManagerService.removeProcessLocked(ActivityManagerService.java:5789)
W/ActivityManager(  471): 	at com.android.server.am.ActivityManagerService.killPackageProcessesLocked(ActivityManagerService.java:5594)
W/ActivityManager(  471): 	at com.android.server.am.ActivityManagerService.forceStopPackageLocked(ActivityManagerService.java:5655)
W/ActivityManager(  471): 	at com.android.server.am.ActivityManagerService.forceStopPackageLocked(ActivityManagerService.java:5499)
W/ActivityManager(  471): 	at com.android.server.am.ActivityManagerService.forceStopPackage(ActivityManagerService.java:5309)
W/ActivityManager(  471): 	at android.app.ActivityManagerNative.onTransact(ActivityManagerNative.java:1461)
W/ActivityManager(  471): 	at com.android.server.am.ActivityManagerService.onTransact(ActivityManagerService.java:2208)
W/ActivityManager(  471): 	at android.os.Binder.execTransact(Binder.java:446)
I/ActivityManager(  471): Killing 9222:com.android.chrome:sandboxed_process2/u0a35i9 (adj 9): isolated not needed
W/libprocessgroup(  471): failed to open /acct/uid_10035/pid_9222/cgroup.procs: No such file or directory
W/ActivityManager(  471): Exception when unbinding service com.android.chrome/org.chromium.content.app.SandboxedProcessService0
W/ActivityManager(  471): android.os.DeadObjectException
W/ActivityManager(  471): 	at android.os.BinderProxy.transactNative(Native Method)
W/ActivityManager(  471): 	at android.os.BinderProxy.transact(Binder.java:496)
W/ActivityManager(  471): 	at android.app.ApplicationThreadProxy.scheduleUnbindService(ApplicationThreadNative.java:921)
W/ActivityManager(  471): 	at com.android.server.am.ActiveServices.removeConnectionLocked(ActiveServices.java:1795)
W/ActivityManager(  471): 	at com.android.server.am.ActiveServices.killServicesLocked(ActiveServices.java:2193)
W/ActivityManager(  471): 	at com.android.server.am.ActivityManagerService.cleanUpApplicationRecordLocked(ActivityManagerService.java:14895)
W/ActivityManager(  471): 	at com.android.server.am.ActivityManagerService.handleAppDiedLocked(ActivityManagerService.java:4552)
W/ActivityManager(  471): 	at com.android.server.am.ActivityManagerService.removeProcessLocked(ActivityManagerService.java:5789)
W/ActivityManager(  471): 	at com.android.server.am.ActivityManagerService.killPackageProcessesLocked(ActivityManagerService.java:5594)
W/ActivityManager(  471): 	at com.android.server.am.ActivityManagerService.forceStopPackageLocked(ActivityManagerService.java:5655)
W/ActivityManager(  471): 	at com.android.server.am.ActivityManagerService.forceStopPackageLocked(ActivityManagerService.java:5499)
W/ActivityManager(  471): 	at com.android.server.am.ActivityManagerService.forceStopPackage(ActivityManagerService.java:5309)
W/ActivityManager(  471): 	at android.app.ActivityManagerNative.onTransact(ActivityManagerNative.java:1461)
W/ActivityManager(  471): 	at com.android.server.am.ActivityManagerService.onTransact(ActivityManagerService.java:2208)
W/ActivityManager(  471): 	at android.os.Binder.execTransact(Binder.java:446)
W/ActivityManager(  471): Force removing ActivityRecord{3084d2af u0 com.android.chrome/org.chromium.chrome.browser.ChromeTabbedActivity t4226}: app died, no saved state
I/ActivityManager(  471): Killing 8989:com.android.chrome:sandboxed_process0/u0a35i7 (adj 9): isolated not needed
W/libprocessgroup(  471): failed to open /acct/uid_10035/pid_8989/cgroup.procs: No such file or directory
W/ActivityManager(  471): Spurious death for ProcessRecord{32f286d2 9026:com.android.chrome:privileged_process0/u0a35}, curProc for 9026: null
W/ActivityManager(  471): Unbind failed: could not find connection for android.os.BinderProxy@374139dd
W/ActivityManager(  471): Spurious death for ProcessRecord{21195d31 8962:com.android.chrome/u0a35}, curProc for 8962: null
W/InputMethodManagerService(  471): Got RemoteException sending setActive(false) notification to pid 8962 uid 10035
I/ActivityManager(  471): Force stopping com.android.chrome appid=10035 user=0: clear data
D/TaskPersister(  471): removeObsoleteFile: deleting file=4226_task.xml
D/TaskPersister(  471): removeObsoleteFile: deleting file=4226_task_thumbnail.png
I/ActivityManager(  471): Start proc 9553:com.android.documentsui/u0a40 for broadcast com.android.documentsui/.PackageReceiver
I/ActivityManager(  471): Start proc 9573:com.google.android.apps.photos/u0a66 for broadcast com.google.android.apps.photos/com.google.android.libraries.social.mediastoresync.reset.impl.MediaStoreClearedReceiver
I/ActivityManager(  471): Start proc 9594:com.android.externalstorage/u0a6 for content provider com.android.externalstorage/.ExternalStorageProvider
I/ActivityManager(  471): Start proc 9621:com.google.android.apps.docs/u0a41 for content provider com.google.android.apps.docs/.storagebackend.StorageBackendContentProvider
I/ActivityManager(  471): Killing 3107:com.google.android.talk/u0a13 (adj 15): empty #17
I/ActivityManager(  471): Start proc 9659:com.android.chrome/u0a35 for content provider com.android.chrome/com.google.android.apps.chrome.icing.IcingProvider
W/ResourcesManager( 9659): Asset path '/system/framework/com.android.media.remotedisplay.jar' does not exist or contains no resources.
W/ResourcesManager( 9659): Asset path '/system/framework/com.android.location.provider.jar' does not exist or contains no resources.
I/ActivityManager(  471): Killing 5638:com.google.android.music:main/u0a61 (adj 15): empty #17
W/ProcessCpuTracker(  471): Skipping unknown process pid 9694
W/ResourcesManager( 9621): Asset path '/system/framework/com.android.media.remotedisplay.jar' does not exist or contains no resources.
W/ResourcesManager( 9621): Asset path '/system/framework/com.android.location.provider.jar' does not exist or contains no resources.
W/FileUtils( 8910): Failed to chmod(/storage/emulated/0/trepn/Trepn_2018.06.16_142758.db): android.system.ErrnoException: chmod failed: EPERM (Operation not permitted)
D/ConnectivityService(  471): reportBadNetwork(NetworkAgentInfo [WIFI () - 100]) by 10008
D/ConnectivityService(  471): setProvNotificationVisibleIntent: E visible=false networkType=0 extraInfo=null
D/ConnectivityService(  471): Validated NetworkAgentInfo [WIFI () - 100]
I/ActivityManager(  471): Force stopping com.android.chrome appid=10035 user=0: from pid 10064
I/ActivityManager(  471): Killing 9659:com.android.chrome/u0a35 (adj 9): stop com.android.chrome
W/ActivityManager(  471): Spurious death for ProcessRecord{1581cd07 9659:com.android.chrome/u0a35}, curProc for 9659: null
I/ActivityManager(  471): START u0 {act=android.intent.action.VIEW flg=0x10008000 cmp=com.android.chrome/com.google.android.apps.chrome.Main} from uid 2000 on display 0
V/WindowManager(  471): addAppToken: AppWindowToken{ac641d2 token=Token{7dd645d ActivityRecord{f269e34 u0 com.android.chrome/com.google.android.apps.chrome.Main t4228}}} to stack=1 task=4228 at 0
I/ActivityManager(  471): Start proc 10076:com.android.chrome/u0a35 for activity com.android.chrome/com.google.android.apps.chrome.Main
W/ResourcesManager(10076): Asset path '/system/framework/com.android.media.remotedisplay.jar' does not exist or contains no resources.
W/ResourcesManager(10076): Asset path '/system/framework/com.android.location.provider.jar' does not exist or contains no resources.
I/ActivityManager(  471): START u0 {cmp=com.android.chrome/org.chromium.chrome.browser.firstrun.FirstRunActivity (has extras)} from uid 10035 on display 0
V/WindowManager(  471): addAppToken: AppWindowToken{2e5b531b token=Token{44c392a ActivityRecord{25dc215 u0 com.android.chrome/org.chromium.chrome.browser.firstrun.FirstRunActivity t4229}}} to stack=1 task=4229 at 0
V/WindowManager(  471): Based on layer: Adding window Window{27970a93 u0 com.android.chrome/org.chromium.chrome.browser.firstrun.FirstRunActivity} at 3 of 17
I/ActivityManager(  471): Start proc 10104:com.android.chrome:sandboxed_process0/u0i11 for service com.android.chrome/org.chromium.content.app.SandboxedProcessService0
I/ActivityManager(  471): Start proc 10146:com.android.chrome:privileged_process0/u0a35 for service com.android.chrome/org.chromium.content.app.PrivilegedProcessService0
D/ConnectivityService(  471): listenForNetwork for NetworkRequest [ id=26, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
D/ConnectivityService(  471): handleRegisterNetworkRequest checking NetworkAgentInfo [WIFI () - 100]
D/ConnectivityService(  471): apparently satisfied.  currentScore=100
D/ConnectivityService(  471): listenForNetwork for NetworkRequest [ id=27, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
D/ConnectivityService(  471): handleRegisterNetworkRequest checking NetworkAgentInfo [WIFI () - 100]
D/ConnectivityService(  471): apparently satisfied.  currentScore=100
W/libprocessgroup(  471): failed to open /acct/uid_10035/pid_10104/cgroup.procs: No such file or directory
I/ActivityManager(  471): Process com.android.chrome:sandboxed_process0 (pid 10104) has died
W/ActivityManager(  471): Scheduling restart of crashed service com.android.chrome/org.chromium.content.app.SandboxedProcessService0 in 1000ms
I/ActivityManager(  471): START u0 {act=android.intent.action.VIEW flg=0x10808000 cmp=com.android.chrome/com.google.android.apps.chrome.Main (has extras)} from uid 10035 on display 0
V/WindowManager(  471): addAppToken: AppWindowToken{254e68cb token=Token{234c579a ActivityRecord{384a9445 u0 com.android.chrome/com.google.android.apps.chrome.Main t4230}}} to stack=1 task=4230 at 0
D/ConnectivityService(  471): releasing NetworkRequest NetworkRequest [ id=27, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
D/ConnectivityService(  471): listenForNetwork for NetworkRequest [ id=28, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
D/ConnectivityService(  471): handleRegisterNetworkRequest checking NetworkAgentInfo [WIFI () - 100]
D/ConnectivityService(  471): apparently satisfied.  currentScore=100
I/ActivityManager(  471): START u0 {act=android.intent.action.VIEW flg=0x14002000 cmp=com.android.chrome/org.chromium.chrome.browser.ChromeTabbedActivity (has extras)} from uid 10035 on display 0
V/WindowManager(  471): addAppToken: AppWindowToken{363ff2 token=Token{107406fd ActivityRecord{3f7da754 u0 com.android.chrome/org.chromium.chrome.browser.ChromeTabbedActivity t4231}}} to stack=1 task=4231 at 0
V/WindowManager(  471): Based on layer: Adding window Window{2f1abb u0 Starting com.android.chrome} at 4 of 18
I/ActivityManager(  471): Start proc 10231:com.android.chrome:sandboxed_process0/u0i12 for service com.android.chrome/org.chromium.content.app.SandboxedProcessService0
V/WindowManager(  471): Adding window Window{7546f69 u0 com.android.chrome/org.chromium.chrome.browser.ChromeTabbedActivity} at 4 of 19 (before Window{2f1abb u0 Starting com.android.chrome})
V/WindowManager(  471): Adding window Window{3dcd091c u0 SurfaceView} at 4 of 20 (before Window{7546f69 u0 com.android.chrome/org.chromium.chrome.browser.ChromeTabbedActivity})
I/ActivityManager(  471): Start proc 10283:com.android.chrome:sandboxed_process1/u0i13 for service com.android.chrome/org.chromium.content.app.SandboxedProcessService1
I/ActivityManager(  471): Activity reported stop, but no longer stopping: ActivityRecord{25dc215 u0 com.android.chrome/org.chromium.chrome.browser.firstrun.FirstRunActivity t4229 f}
W/FileUtils( 8910): Failed to chmod(/storage/emulated/0/trepn/Trepn_2018.06.16_143118.db): android.system.ErrnoException: chmod failed: EPERM (Operation not permitted)
D/TaskPersister(  471): removeObsoleteFile: deleting file=4229_task_thumbnail.png
I/ActivityManager(  471): START u0 {act=android.intent.action.VIEW dat=localhost:8000 flg=0x10000000 cmp=com.android.chrome/com.google.android.apps.chrome.Main} from uid 2000 on display 0
V/WindowManager(  471): addAppToken: AppWindowToken{3e26182f token=Token{25a9560e ActivityRecord{3e637409 u0 com.android.chrome/com.google.android.apps.chrome.Main t4232}}} to stack=1 task=4232 at 0
D/ConnectivityService(  471): releasing NetworkRequest NetworkRequest [ id=28, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
D/ConnectivityService(  471): listenForNetwork for NetworkRequest [ id=29, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
D/ConnectivityService(  471): handleRegisterNetworkRequest checking NetworkAgentInfo [WIFI () - 100]
D/ConnectivityService(  471): apparently satisfied.  currentScore=100
I/ActivityManager(  471): START u0 {act=android.intent.action.VIEW dat=localhost:8000 flg=0x14002000 cmp=com.android.chrome/org.chromium.chrome.browser.ChromeTabbedActivity (has extras)} from uid 10035 on display 0
W/InputMethodManagerService(  471): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@5fe18e6 attribute=null, token = android.os.BinderProxy@3edfdf0
I/ActivityManager(  471): Start proc 10348:com.android.chrome:sandboxed_process2/u0i14 for service com.android.chrome/org.chromium.content.app.SandboxedProcessService2
W/libprocessgroup(  471): failed to open /acct/uid_10035/pid_10283/cgroup.procs: No such file or directory
I/ActivityManager(  471): Process com.android.chrome:sandboxed_process1 (pid 10283) has died
W/ActivityManager(  471): Scheduling restart of crashed service com.android.chrome/org.chromium.content.app.SandboxedProcessService1 in 1000ms
I/ActivityManager(  471): Start proc 10458:com.android.chrome:sandboxed_process3/u0i15 for service com.android.chrome/org.chromium.content.app.SandboxedProcessService3
W/libprocessgroup(  471): failed to open /acct/uid_10035/pid_10458/cgroup.procs: No such file or directory
I/ActivityManager(  471): Process com.android.chrome:sandboxed_process3 (pid 10458) has died
W/ActivityManager(  471): Scheduling restart of crashed service com.android.chrome/org.chromium.content.app.SandboxedProcessService3 in 1000ms
D/ConnectivityService(  471): updateNetworkScore for NetworkAgentInfo [WIFI () - 100] to 56
D/ConnectivityService(  471): rematching NetworkAgentInfo [WIFI () - 100]
D/ConnectivityService(  471): Network NetworkAgentInfo [WIFI () - 100] was already satisfying request 1. No change.
D/ConnectivityService(  471): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 100]
D/WifiService(  471): acquireWifiLockLocked: WifiLock{NlpWifiLock type=2 binder=android.os.BinderProxy@331fdd83}
D/WifiService(  471): releaseWifiLockLocked: WifiLock{NlpWifiLock type=2 binder=android.os.BinderProxy@331fdd83}
D/ConnectivityService(  471): updateNetworkScore for NetworkAgentInfo [WIFI () - 100] to 60
D/ConnectivityService(  471): rematching NetworkAgentInfo [WIFI () - 100]
D/ConnectivityService(  471): Network NetworkAgentInfo [WIFI () - 100] was already satisfying request 1. No change.
D/ConnectivityService(  471): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 100]
I/ActivityManager(  471): Force stopping com.android.chrome appid=10035 user=0: from pid 10618
I/ActivityManager(  471): Killing 10146:com.android.chrome:privileged_process0/u0a35 (adj 0): stop com.android.chrome
W/ActivityManager(  471): Scheduling restart of crashed service com.android.chrome/org.chromium.content.app.PrivilegedProcessService0 in 1000ms
I/ActivityManager(  471): Killing 10076:com.android.chrome/u0a35 (adj 0): stop com.android.chrome
I/WindowState(  471): WIN DEATH: Window{3dcd091c u0 SurfaceView}
D/ConnectivityService(  471): ConnectivityService NetworkRequestInfo binderDied(NetworkRequest [ id=26, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ], android.os.BinderProxy@2259430)
D/ConnectivityService(  471): releasing NetworkRequest NetworkRequest [ id=26, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
D/ConnectivityService(  471): ConnectivityService NetworkRequestInfo binderDied(NetworkRequest [ id=29, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ], android.os.BinderProxy@2a46e8a9)
E/ConnectivityService(  471): RemoteException caught trying to send a callback msg for NetworkRequest [ id=26, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
D/ConnectivityService(  471): releasing NetworkRequest NetworkRequest [ id=29, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
E/ConnectivityService(  471): RemoteException caught trying to send a callback msg for NetworkRequest [ id=29, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
I/WindowState(  471): WIN DEATH: Window{7546f69 u0 com.android.chrome/org.chromium.chrome.browser.ChromeTabbedActivity}
W/ActivityManager(  471): Exception when unbinding service com.android.chrome/org.chromium.content.app.SandboxedProcessService2
W/ActivityManager(  471): android.os.DeadObjectException
W/ActivityManager(  471): 	at android.os.BinderProxy.transactNative(Native Method)
W/ActivityManager(  471): 	at android.os.BinderProxy.transact(Binder.java:496)
W/ActivityManager(  471): 	at android.app.ApplicationThreadProxy.scheduleUnbindService(ApplicationThreadNative.java:921)
W/ActivityManager(  471): 	at com.android.server.am.ActiveServices.removeConnectionLocked(ActiveServices.java:1795)
W/ActivityManager(  471): 	at com.android.server.am.ActiveServices.killServicesLocked(ActiveServices.java:2193)
W/ActivityManager(  471): 	at com.android.server.am.ActivityManagerService.cleanUpApplicationRecordLocked(ActivityManagerService.java:14895)
W/ActivityManager(  471): 	at com.android.server.am.ActivityManagerService.handleAppDiedLocked(ActivityManagerService.java:4552)
W/ActivityManager(  471): 	at com.android.server.am.ActivityManagerService.removeProcessLocked(ActivityManagerService.java:5789)
W/ActivityManager(  471): 	at com.android.server.am.ActivityManagerService.killPackageProcessesLocked(ActivityManagerService.java:5594)
W/ActivityManager(  471): 	at com.android.server.am.ActivityManagerService.forceStopPackageLocked(ActivityManagerService.java:5655)
W/ActivityManager(  471): 	at com.android.server.am.ActivityManagerService.forceStopPackageLocked(ActivityManagerService.java:5499)
W/ActivityManager(  471): 	at com.android.server.am.ActivityManagerService.forceStopPackage(ActivityManagerService.java:5309)
W/ActivityManager(  471): 	at android.app.ActivityManagerNative.onTransact(ActivityManagerNative.java:1461)
W/ActivityManager(  471): 	at com.android.server.am.ActivityManagerService.onTransact(ActivityManagerService.java:2208)
W/ActivityManager(  471): 	at android.os.Binder.execTransact(Binder.java:446)
I/ActivityManager(  471): Killing 10231:com.android.chrome:sandboxed_process0/u0a35i12 (adj 0): isolated not needed
W/libprocessgroup(  471): failed to open /acct/uid_10035/pid_10231/cgroup.procs: No such file or directory
W/ActivityManager(  471): Force removing ActivityRecord{3f7da754 u0 com.android.chrome/org.chromium.chrome.browser.ChromeTabbedActivity t4231}: app died, no saved state
I/ActivityManager(  471): Killing 10348:com.android.chrome:sandboxed_process2/u0a35i14 (adj 9): isolated not needed
W/libprocessgroup(  471): failed to open /acct/uid_10035/pid_10348/cgroup.procs: No such file or directory
W/ActivityManager(  471): Spurious death for ProcessRecord{1e52a8a8 10146:com.android.chrome:privileged_process0/u0a35}, curProc for 10146: null
W/ActivityManager(  471): Unbind failed: could not find connection for android.os.BinderProxy@1697948a
W/ActivityManager(  471): Spurious death for ProcessRecord{213a7ad0 10076:com.android.chrome/u0a35}, curProc for 10076: null
W/InputMethodManagerService(  471): Got RemoteException sending setActive(false) notification to pid 10076 uid 10035
I/ActivityManager(  471): Force stopping com.android.chrome appid=10035 user=0: clear data
D/TaskPersister(  471): removeObsoleteFile: deleting file=4231_task.xml
D/TaskPersister(  471): removeObsoleteFile: deleting file=4231_task_thumbnail.png
I/ActivityManager(  471): Start proc 10670:com.android.chrome/u0a35 for content provider com.android.chrome/com.google.android.apps.chrome.icing.IcingProvider
W/ResourcesManager(10670): Asset path '/system/framework/com.android.media.remotedisplay.jar' does not exist or contains no resources.
W/ResourcesManager(10670): Asset path '/system/framework/com.android.location.provider.jar' does not exist or contains no resources.
W/FileUtils( 8910): Failed to chmod(/storage/emulated/0/trepn/Trepn_2018.06.16_143118.db): android.system.ErrnoException: chmod failed: EPERM (Operation not permitted)
D/ConnectivityService(  471): updateNetworkScore for NetworkAgentInfo [WIFI () - 100] to 56
D/ConnectivityService(  471): rematching NetworkAgentInfo [WIFI () - 100]
D/ConnectivityService(  471): Network NetworkAgentInfo [WIFI () - 100] was already satisfying request 1. No change.
D/ConnectivityService(  471): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 100]
D/ConnectivityService(  471): updateNetworkScore for NetworkAgentInfo [WIFI () - 100] to 60
D/ConnectivityService(  471): rematching NetworkAgentInfo [WIFI () - 100]
D/ConnectivityService(  471): Network NetworkAgentInfo [WIFI () - 100] was already satisfying request 1. No change.
D/ConnectivityService(  471): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 100]
I/ActivityManager(  471): Force stopping com.android.chrome appid=10035 user=0: from pid 11203
I/ActivityManager(  471): Killing 10670:com.android.chrome/u0a35 (adj 9): stop com.android.chrome
W/ActivityManager(  471): Spurious death for ProcessRecord{2743a912 10670:com.android.chrome/u0a35}, curProc for 10670: null
I/ActivityManager(  471): START u0 {act=android.intent.action.VIEW flg=0x10008000 cmp=com.android.chrome/com.google.android.apps.chrome.Main} from uid 2000 on display 0
V/WindowManager(  471): addAppToken: AppWindowToken{27cde999 token=Token{3b542e0 ActivityRecord{2b3ea8e3 u0 com.android.chrome/com.google.android.apps.chrome.Main t4233}}} to stack=1 task=4233 at 0
I/ActivityManager(  471): Start proc 11221:com.android.chrome/u0a35 for activity com.android.chrome/com.google.android.apps.chrome.Main
W/ResourcesManager(11221): Asset path '/system/framework/com.android.media.remotedisplay.jar' does not exist or contains no resources.
W/ResourcesManager(11221): Asset path '/system/framework/com.android.location.provider.jar' does not exist or contains no resources.
I/ActivityManager(  471): START u0 {cmp=com.android.chrome/org.chromium.chrome.browser.firstrun.FirstRunActivity (has extras)} from uid 10035 on display 0
V/WindowManager(  471): addAppToken: AppWindowToken{1be98136 token=Token{2d3a32d1 ActivityRecord{81c8df8 u0 com.android.chrome/org.chromium.chrome.browser.firstrun.FirstRunActivity t4234}}} to stack=1 task=4234 at 0
V/WindowManager(  471): Based on layer: Adding window Window{22faaec5 u0 com.android.chrome/org.chromium.chrome.browser.firstrun.FirstRunActivity} at 3 of 17
I/ActivityManager(  471): Start proc 11248:com.android.chrome:sandboxed_process0/u0i16 for service com.android.chrome/org.chromium.content.app.SandboxedProcessService0
I/ActivityManager(  471): Start proc 11300:com.android.chrome:privileged_process0/u0a35 for service com.android.chrome/org.chromium.content.app.PrivilegedProcessService0
D/ConnectivityService(  471): listenForNetwork for NetworkRequest [ id=30, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
D/ConnectivityService(  471): handleRegisterNetworkRequest checking NetworkAgentInfo [WIFI () - 100]
D/ConnectivityService(  471): apparently satisfied.  currentScore=100
D/ConnectivityService(  471): listenForNetwork for NetworkRequest [ id=31, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
D/ConnectivityService(  471): handleRegisterNetworkRequest checking NetworkAgentInfo [WIFI () - 100]
D/ConnectivityService(  471): apparently satisfied.  currentScore=100
D/ConnectivityService(  471): releasing NetworkRequest NetworkRequest [ id=31, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
I/ActivityManager(  471): Killing 5712:com.google.android.instantapps.supervisor/u0a90 (adj 15): empty #17
I/ActivityManager(  471): Killing 5867:com.google.android.videos/u0a77 (adj 15): empty #18
D/TaskPersister(  471): removeObsoleteFile: deleting file=4234_task_thumbnail.png
W/libprocessgroup(  471): failed to open /acct/uid_10035/pid_11248/cgroup.procs: No such file or directory
I/ActivityManager(  471): Process com.android.chrome:sandboxed_process0 (pid 11248) has died
W/ActivityManager(  471): Scheduling restart of crashed service com.android.chrome/org.chromium.content.app.SandboxedProcessService0 in 1000ms
W/FileUtils( 8910): Failed to chmod(/storage/emulated/0/trepn/Trepn_2018.06.16_143439.db): android.system.ErrnoException: chmod failed: EPERM (Operation not permitted)
I/ActivityManager(  471): START u0 {act=android.intent.action.VIEW dat=localhost:8000 flg=0x10000000 cmp=com.android.chrome/com.google.android.apps.chrome.Main} from uid 2000 on display 0
V/WindowManager(  471): addAppToken: AppWindowToken{117b7639 token=Token{24e49e00 ActivityRecord{15b3fc83 u0 com.android.chrome/com.google.android.apps.chrome.Main t4235}}} to stack=1 task=4235 at 0
D/ConnectivityService(  471): listenForNetwork for NetworkRequest [ id=32, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
D/ConnectivityService(  471): handleRegisterNetworkRequest checking NetworkAgentInfo [WIFI () - 100]
D/ConnectivityService(  471): apparently satisfied.  currentScore=100
I/ActivityManager(  471): START u0 {cmp=com.android.chrome/org.chromium.chrome.browser.firstrun.FirstRunActivity (has extras)} from uid 10035 on display 0
V/WindowManager(  471): addAppToken: AppWindowToken{c5e78fb token=Token{1e2eca8a ActivityRecord{2943cf5 u0 com.android.chrome/org.chromium.chrome.browser.firstrun.FirstRunActivity t4236}}} to stack=1 task=4236 at 0
V/WindowManager(  471): Based on layer: Adding window Window{38b371 u0 com.android.chrome/org.chromium.chrome.browser.firstrun.FirstRunActivity} at 3 of 18
I/ActivityManager(  471): Start proc 11477:com.android.chrome:sandboxed_process0/u0i17 for service com.android.chrome/org.chromium.content.app.SandboxedProcessService0
W/libprocessgroup(  471): failed to open /acct/uid_10035/pid_11477/cgroup.procs: No such file or directory
I/ActivityManager(  471): Process com.android.chrome:sandboxed_process0 (pid 11477) has died
W/ActivityManager(  471): Scheduling restart of crashed service com.android.chrome/org.chromium.content.app.SandboxedProcessService0 in 1000ms
D/ConnectivityService(  471): updateNetworkScore for NetworkAgentInfo [WIFI () - 100] to 56
D/ConnectivityService(  471): rematching NetworkAgentInfo [WIFI () - 100]
D/ConnectivityService(  471): Network NetworkAgentInfo [WIFI () - 100] was already satisfying request 1. No change.
D/ConnectivityService(  471): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 100]
I/ActivityManager(  471): Force stopping com.android.chrome appid=10035 user=0: from pid 11724
I/ActivityManager(  471): Killing 11300:com.android.chrome:privileged_process0/u0a35 (adj 0): stop com.android.chrome
W/ActivityManager(  471): Scheduling restart of crashed service com.android.chrome/org.chromium.content.app.PrivilegedProcessService0 in 1000ms
I/ActivityManager(  471): Killing 11221:com.android.chrome/u0a35 (adj 0): stop com.android.chrome
