--------- beginning of system
I/Vold    (  153): Vold 2.1 (the revenge) firing up
D/VoldCmdListener(  153): cryptfs mountdefaultencrypted
E/WorkerRegistryImpl( 1033): getWorker() is called after WorkerRegistry disposal.
E/WorkerRegistryImpl( 1033): getWorker() is called after WorkerRegistry disposal.
E/WorkerRegistryImpl( 1033): getWorker() is called after WorkerRegistry disposal.
E/WorkerRegistryImpl( 1033): getWorker() is called after WorkerRegistry disposal.
E/WorkerRegistryImpl( 1033): getWorker() is called after WorkerRegistry disposal.
W/cr_media( 5051): Requires BLUETOOTH permission
I/cr_LibraryLoader( 5215): Using linker: org.chromium.base.library_loader.LegacyLinker
W/linker  ( 5215): libchromium_android_linker.so: unused DT entry: type 0x6ffffffe arg 0xce8
W/linker  ( 5215): libchromium_android_linker.so: unused DT entry: type 0x6fffffff arg 0x3
E/WorkerRegistryImpl( 1033): getWorker() is called after WorkerRegistry disposal.
E/WorkerRegistryImpl( 1033): getWorker() is called after WorkerRegistry disposal.
E/WorkerRegistryImpl( 1033): getWorker() is called after WorkerRegistry disposal.
E/WorkerRegistryImpl( 1033): getWorker() is called after WorkerRegistry disposal.
E/WorkerRegistryImpl( 1033): getWorker() is called after WorkerRegistry disposal.
E/WorkerRegistryImpl( 1033): getWorker() is called after WorkerRegistry disposal.
E/WorkerRegistryImpl( 1033): getWorker() is called after WorkerRegistry disposal.
E/WorkerRegistryImpl( 1033): getWorker() is called after WorkerRegistry disposal.
I/cr_LibraryLoader( 5215): Loading chrome from within /data/app/com.android.chrome-2/base.apk
I/ActivityManager(  455): Start proc 5267:com.google.android.partnersetup/u0a12 for content provider com.google.android.partnersetup/.RlzAppProvider
I/cr_LibraryLoader( 5215): Time to load native libraries: 222 ms (timestamps 8675-8897)
I/chromium( 5215): [INFO:library_loader_hooks.cc(136)] Chromium logging enabled: level = 0, default verbosity = 0
I/cr_LibraryLoader( 5215): Expected native library version number "61.0.3163.98", actual native library version number "61.0.3163.98"
I/vgn     (  855): 67-RequestPlaceUpdates -- metadata{ service_id: 0 }
I/vgn     (  855): 67-RemovePlaceUpdates -- metadata{ service_id: 0 }
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
I/ActivityManager(  455): Start proc 5286:com.android.chrome:sandboxed_process2/u0i2 for service com.android.chrome/org.chromium.content.app.SandboxedProcessService2
I/art     ( 5051): Background sticky concurrent mark sweep GC freed 50169(3MB) AllocSpace objects, 19(304KB) LOS objects, 17% free, 14MB/17MB, paused 4.087ms total 182.140ms
I/art     (  455): Explicit concurrent mark sweep GC freed 31087(1667KB) AllocSpace objects, 7(140KB) LOS objects, 33% free, 24MB/37MB, paused 1.145ms total 258.297ms
I/Places  (  855): ?: PlacesBleScanner stop()
I/BeaconBle(  855): Scan canceled successfully.
D/BluetoothAdapter( 1033): 982648545: getState() :  mService = null. Returning STATE_OFF
D/BluetoothAdapter( 1033): 982648545: getState() :  mService = null. Returning STATE_OFF
I/VoiceSearchSettings( 1033): Hotword upgrade key is null!
I/VISHotwordAdapter( 1033): #initialize, locale=en-US, keyPhrase=Ok Google
I/GsaVoiceInteractionSrv(  799): initializeAlwaysOnHotwordDetector locale en-US hotwordPhrase Ok Google
W/dboxed_process2( 5286): type=1400 audit(0.0:10): avc: denied { search } for name="tmp" dev="dm-0" ino=49 scontext=u:r:isolated_app:s0 tcontext=u:object_r:shell_data_file:s0 tclass=dir permissive=0
I/cr_ChildProcessService( 5286): Creating new ChildProcessService pid=5286
I/PlaceInferenceEngine(  855): [anon] Changed inference mode: 0
I/cr_SnippetsLauncher( 5051): Scheduling: 172800 172800
I/orc     (  855): 51-GetExperimentTokensOperationCall -- metadata{ service_id: 0 }
I/GeofencerStateMachine(  855): removeGeofences: removeRequest=RemoveGeofencingRequest[REMOVE_BY_PENDING_INTENT pendingIntent=PendingIntent[creatorPackage=com.google.android.gms], packageName=null]
W/DynamiteModule( 1033): Local module descriptor class for com.google.android.gms.googlecertificates not found.
I/cr_LibraryLoader( 5286): Using linker: org.chromium.base.library_loader.LegacyLinker
W/linker  ( 5286): libchromium_android_linker.so: unused DT entry: type 0x6ffffffe arg 0xce8
W/linker  ( 5286): libchromium_android_linker.so: unused DT entry: type 0x6fffffff arg 0x3
I/DynamiteModule( 1033): Considering local module com.google.android.gms.googlecertificates:0 and remote module com.google.android.gms.googlecertificates:4
I/DynamiteModule( 1033): Selected remote version of com.google.android.gms.googlecertificates, version >= 4
I/cr_LibraryLoader( 5286): Loading chrome from within /data/app/com.android.chrome-2/base.apk
E/aght    (  855): Phenotype API error. Event a <
E/aght    (  855):   a: "LOCAL.com.google.android.agsa.QSB"
E/aght    (  855):   b: 0
E/aght    (  855):   e: ""
E/aght    (  855):   f: ""
E/aght    (  855):   g: 0
E/aght    (  855):   h: 0
E/aght    (  855):   i: ""
E/aght    (  855):   j: 5
E/aght    (  855): >
E/aght    (  855): e: # bjzl@f5130810
E/aght    (  855): , EventCode: 7 -- metadata{ service_id: 51 }
E/aght    (  855): aggm: 29505: No config packages for log source, or config package not registered
E/aght    (  855): 	at agif.b(:com.google.android.gms@12685011@12.6.85 (020406-197041431):4)
E/aght    (  855): 	at aght.a(:com.google.android.gms@12685011@12.6.85 (020406-197041431):40)
E/aght    (  855): 	at aght.a(:com.google.android.gms@12685011@12.6.85 (020406-197041431):108)
E/aght    (  855): 	at ord.run(:com.google.android.gms@12685011@12.6.85 (020406-197041431):40)
E/aght    (  855): 	at azvp.run(:com.google.android.gms@12685011@12.6.85 (020406-197041431):2)
E/aght    (  855): 	at ovl.run(:com.google.android.gms@12685011@12.6.85 (020406-197041431):27)
E/aght    (  855): 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1112)
E/aght    (  855): 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:587)
E/aght    (  855): 	at pbm.run(:com.google.android.gms@12685011@12.6.85 (020406-197041431))
E/aght    (  855): 	at java.lang.Thread.run(Thread.java:818)
E/AsyncOperation(  855): serviceID=51, operation=GetExperimentTokensOperationCall
E/AsyncOperation(  855): OperationException[Status{statusCode=No config packages for log source, or config package not registered, resolution=null}]
E/AsyncOperation(  855): 	at aght.a(:com.google.android.gms@12685011@12.6.85 (020406-197041431):53)
E/AsyncOperation(  855): 	at aght.a(:com.google.android.gms@12685011@12.6.85 (020406-197041431):108)
E/AsyncOperation(  855): 	at ord.run(:com.google.android.gms@12685011@12.6.85 (020406-197041431):40)
E/AsyncOperation(  855): 	at azvp.run(:com.google.android.gms@12685011@12.6.85 (020406-197041431):2)
E/AsyncOperation(  855): 	at ovl.run(:com.google.android.gms@12685011@12.6.85 (020406-197041431):27)
E/AsyncOperation(  855): 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1112)
E/AsyncOperation(  855): 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:587)
E/AsyncOperation(  855): 	at pbm.run(:com.google.android.gms@12685011@12.6.85 (020406-197041431))
E/AsyncOperation(  855): 	at java.lang.Thread.run(Thread.java:818)
I/ActivityManager(  455): Killing 3512:com.google.android.apps.photos/u0a66 (adj 15): empty #17
I/cr_LibraryLoader( 5286): Time to load native libraries: 101 ms (timestamps 9605-9706)
I/chromium( 5286): [INFO:library_loader_hooks.cc(136)] Chromium logging enabled: level = 0, default verbosity = 0
I/cr_LibraryLoader( 5286): Expected native library version number "61.0.3163.98", actual native library version number "61.0.3163.98"
W/FileUtils( 5007): Failed to chmod(/storage/emulated/0/trepn/Trepn_2018.06.19_090438.db): android.system.ErrnoException: chmod failed: EPERM (Operation not permitted)
W/ResourcesManager( 1033): Asset path '/system/framework/com.android.media.remotedisplay.jar' does not exist or contains no resources.
W/ResourcesManager( 1033): Asset path '/system/framework/com.android.location.provider.jar' does not exist or contains no resources.
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
I/ActivityManager(  455): Killing 3472:com.google.android.apps.maps/u0a60 (adj 15): empty #17
D/ConnectivityService(  455): ConnectivityService NetworkRequestInfo binderDied(NetworkRequest [ id=10, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ], android.os.BinderProxy@386bab7)
D/ConnectivityService(  455): releasing NetworkRequest NetworkRequest [ id=10, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
E/ConnectivityService(  455): RemoteException caught trying to send a callback msg for NetworkRequest [ id=10, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
I/ActivityManager(  455): Start proc 5334:com.android.providers.partnerbookmarks/u0a65 for content provider com.android.providers.partnerbookmarks/.PartnerBookmarksProvider
D/OpenGLRenderer( 5007): Use EGL_SWAP_BEHAVIOR_PRESERVED: true
D/TaskPersister(  455): removeObsoleteFile: deleting file=4988_task_thumbnail.png
E/PartnerBookmarksReader( 5051): ATTENTION: not using partner bookmarks as none were provided
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
I/Trepn   ( 5007): Trepn 6.2s: Trepn has Started Profiling.
D/AndroidRuntime( 5213): Shutting down VM
I/Choreographer( 5051): Skipped 31 frames!  The application may be doing too much work on its main thread.
I/ActivityManager(  455): Killing 3601:com.opera.browser:alarm_receiver/u0a85 (adj 15): empty #17
I/OpenGLRenderer( 5007): Initialized EGL, version 1.4
I/ActivityManager(  455): Activity reported stop, but no longer stopping: ActivityRecord{37a046d6 u0 com.android.chrome/org.chromium.chrome.browser.firstrun.FirstRunActivity t4988 f}
I/cr_BindingManager( 5051): Moderate binding enabled: maxSize=20
D/OpenGLRenderer( 5007): Enabling debug mode 0
W/Nearby  (  855): Bind call too late - someone already tried to get: interface bghz -- metadata{ service_id: 0 }
I/vgn     (  855): 35-GetDeviceDataUploadOptInStatusOperation -- metadata{ service_id: 0 }
I/vgn     (  855): 35-GetDeviceDataUploadOptInStatusOperation -- metadata{ service_id: 0 }
I/Icing   ( 1014): IndexChimeraService.getServiceInterface callingPackage=com.android.chrome componentName=null serviceId=36
I/vgn     (  855): 19-GetFileDescriptorAndDelete -- metadata{ service_id: 0 }
I/Icing   ( 1014): Usage reports ok 0, Failed Usage reports 0, indexed 0, rejected 0, imm upload false
I/Icing   ( 1014): IndexChimeraService.getServiceInterface callingPackage=com.android.chrome componentName=null serviceId=36
I/vgn     (  855): 19-GetFileDescriptorAndDelete -- metadata{ service_id: 0 }
D/AndroidRuntime( 5364): >>>>>> START com.android.internal.os.RuntimeInit uid 2000 <<<<<<
D/AndroidRuntime( 5364): CheckJNI is OFF
I/Icing   ( 1014): Usage reports ok 0, Failed Usage reports 0, indexed 0, rejected 0, imm upload false
I/Icing   ( 1014): Removing corpus key 94FBE96EEF13B8AC56FE8C01687FD8A6012559AC for package com.android.chrome
I/dex2oat ( 5354): /system/bin/dex2oat --runtime-arg -classpath --runtime-arg  --instruction-set=arm --instruction-set-features=default --runtime-arg -Xrelocate --boot-image=/system/framework/boot.art --dex-file=/data/data/com.android.chrome/app_dex/webapk1.dex --oat-fd=165 --oat-location=/data/data/com.android.chrome/app_dex/arm/webapk1.dex --runtime-arg -Xms64m --runtime-arg -Xmx512m
I/Icing   ( 1014): Flash index sort hb 75 prefix-hits 360 -> 356 at 112.071ms
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
I/dex2oat ( 5354): dex2oat took 223.501ms (threads: 2) arena alloc=56KB java alloc=6KB native alloc=618KB free=17KB
W/System.err( 1858): android.content.pm.PackageManager$NameNotFoundException
D/AndroidRuntime( 5364): Calling main entry com.android.commands.am.Am
W/System.err( 1858): 	at android.app.ApplicationPackageManager.getPackageInfo(ApplicationPackageManager.java:114)
W/System.err( 1858): 	at com.estrongs.android.pop.app.c.ai.c(Unknown Source)
W/System.err( 1858): 	at com.estrongs.android.pop.app.c.ai.a(Unknown Source)
W/System.err( 1858): 	at com.estrongs.android.pop.app.scene.e.q.a(Unknown Source)
W/System.err( 1858): 	at com.estrongs.android.scanner.c.m.run(Unknown Source)
W/System.err( 1858): 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1112)
W/System.err( 1858): 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:587)
W/System.err( 1858): 	at java.lang.Thread.run(Thread.java:818)
I/ActivityManager(  455): START u0 {act=android.intent.action.VIEW dat=localhost:8000 flg=0x10000000 cmp=com.android.chrome/com.google.android.apps.chrome.Main} from uid 2000 on display 0
V/WindowManager(  455): addAppToken: AppWindowToken{df1d695 token=Token{1489164c ActivityRecord{32f1367f u0 com.android.chrome/com.google.android.apps.chrome.Main t4991}}} to stack=1 task=4991 at 0
D/AndroidRuntime( 5364): Shutting down VM
D/ConnectivityService(  455): releasing NetworkRequest NetworkRequest [ id=17, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
D/ConnectivityManager.CallbackHandler( 5051): CM callback handler got msg 524296
W/cr_Autocomplete( 5051): stopping autocomplete.
D/ConnectivityService(  455): listenForNetwork for NetworkRequest [ id=18, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
D/ConnectivityService(  455): handleRegisterNetworkRequest checking NetworkAgentInfo [WIFI () - 100]
D/ConnectivityService(  455): apparently satisfied.  currentScore=60
D/ConnectivityManager.CallbackHandler( 5051): CM callback handler got msg 524290
I/cr_InstantAppsHandler( 5051): Not handling with Instant Apps because Chrome is not default or there's a specialized handler
I/ActivityManager(  455): START u0 {act=android.intent.action.VIEW dat=localhost:8000 flg=0x14002000 cmp=com.android.chrome/org.chromium.chrome.browser.ChromeTabbedActivity (has extras)} from uid 10035 on display 0
W/InputMethodManagerService(  455): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@10d1e2e4 attribute=null, token = android.os.BinderProxy@3cfdbef7
I/ActivityManager(  455): Start proc 5383:com.android.chrome:sandboxed_process3/u0i3 for service com.android.chrome/org.chromium.content.app.SandboxedProcessService3
W/dboxed_process3( 5383): type=1400 audit(0.0:11): avc: denied { search } for name="tmp" dev="dm-0" ino=49 scontext=u:r:isolated_app:s0 tcontext=u:object_r:shell_data_file:s0 tclass=dir permissive=0
I/cr_ChildProcessService( 5383): Creating new ChildProcessService pid=5383
I/cr_LibraryLoader( 5383): Using linker: org.chromium.base.library_loader.LegacyLinker
I/vgn     ( 1014): 45-xlb -- metadata{ service_id: 0 }
W/linker  ( 5383): libchromium_android_linker.so: unused DT entry: type 0x6ffffffe arg 0xce8
W/linker  ( 5383): libchromium_android_linker.so: unused DT entry: type 0x6fffffff arg 0x3
I/cr_LibraryLoader( 5383): Loading chrome from within /data/app/com.android.chrome-2/base.apk
I/cr_LibraryLoader( 5383): Time to load native libraries: 132 ms (timestamps 2728-2860)
I/chromium( 5383): [INFO:library_loader_hooks.cc(136)] Chromium logging enabled: level = 0, default verbosity = 0
I/cr_LibraryLoader( 5383): Expected native library version number "61.0.3163.98", actual native library version number "61.0.3163.98"
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
I/vgn     ( 1014): 45-xlb -- metadata{ service_id: 0 }
I/vgn     ( 1014): 45-xlb -- metadata{ service_id: 0 }
I/orc     (  855): 121-GetLaunchDataOperation -- metadata{ service_id: 0 }
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
I/cr_omaha( 5051): Request to Server Successful. Timestamp for next request:1529395483768
I/cr_omaha( 5051): Request to Server Successful. Timestamp for next request:1529395483820
I/cr_omaha( 5051): Attempting to schedule next job for: Tue Jun 19 14:04:43 GMT+02:00 2018
I/cr_omaha( 5051): Scheduled using AlarmManager and IntentService
I/chromium( 5286): [INFO:child_process_service_impl.cc(70)] ChildProcessServiceImpl: Exiting child process.
W/libprocessgroup(  455): failed to open /acct/uid_10035/pid_5286/cgroup.procs: No such file or directory
I/ActivityManager(  455): Process com.android.chrome:sandboxed_process2 (pid 5286) has died
W/chromium( 5051): [WARNING:compositor_view.cc(255)] Child process disconnected (type=6) pid=5286)
W/ActivityManager(  455): Scheduling restart of crashed service com.android.chrome/org.chromium.content.app.SandboxedProcessService2 in 1000ms
W/cr_ChildProcessConn( 5051): onServiceDisconnected (crash or killed by oom): pid=5286
E/WifiStateMachine(  455): WifiStateMachine CMD_START_SCAN source -2 txSuccessRate=91.21 rxSuccessRate=85.39 targetRoamBSSID=any RSSI=-39
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
W/cr_Autocomplete( 5051): stopping autocomplete.
D/audio_hw_primary(  208): out_set_parameters: enter: usecase(0: playback) kvpairs: routing=2 out->devices(2) adev->mode(0)
I/vgn     ( 1014): 45-xlb -- metadata{ service_id: 0 }
I/vgn     ( 1014): 45-xlb -- metadata{ service_id: 0 }
I/Icing   ( 1014): Scored 174 usage reports, missing_corpora 2 update_failed 26
I/Icing   ( 1014): Indexing 94FBE96EEF13B8AC56FE8C01687FD8A6012559AC from com.android.chrome
I/Icing   ( 1014): Indexing done 94FBE96EEF13B8AC56FE8C01687FD8A6012559AC
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
W/cr_Autocomplete( 5051): stopping autocomplete.
D/audio_hw_primary(  208): out_set_parameters: enter: usecase(0: playback) kvpairs: routing=2 out->devices(2) adev->mode(0)
I/vgn     ( 1014): 45-xlb -- metadata{ service_id: 0 }
I/vgn     ( 1014): 45-xlb -- metadata{ service_id: 0 }
I/EventLogSendingHelper( 1033): Sending log events.
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
W/cr_Autocomplete( 5051): stopping autocomplete.
D/audio_hw_primary(  208): out_set_parameters: enter: usecase(0: playback) kvpairs: routing=2 out->devices(2) adev->mode(0)
I/vgn     ( 1014): 45-xlb -- metadata{ service_id: 0 }
I/vgn     ( 1014): 45-xlb -- metadata{ service_id: 0 }
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
W/cr_Autocomplete( 5051): stopping autocomplete.
D/audio_hw_primary(  208): out_set_parameters: enter: usecase(0: playback) kvpairs: routing=2 out->devices(2) adev->mode(0)
I/vgn     ( 1014): 45-xlb -- metadata{ service_id: 0 }
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
W/cr_Autocomplete( 5051): stopping autocomplete.
D/audio_hw_primary(  208): out_set_parameters: enter: usecase(0: playback) kvpairs: routing=2 out->devices(2) adev->mode(0)
E/System  ( 5051): Uncaught exception thrown by finalizer
E/System  ( 5051): java.lang.IllegalStateException: Warning: Router objects should be explicitly closed when no longer required otherwise you may leak handles.
E/System  ( 5051): 	at org.chromium.mojo.bindings.AutoCloseableRouter.finalize(AutoCloseableRouter.java:18)
E/System  ( 5051): 	at java.lang.Daemons$FinalizerDaemon.doFinalize(Daemons.java:191)
E/System  ( 5051): 	at java.lang.Daemons$FinalizerDaemon.run(Daemons.java:174)
E/System  ( 5051): 	at java.lang.Thread.run(Thread.java:818)
W/cr_Autocomplete( 5051): stopping autocomplete.
D/audio_hw_primary(  208): out_set_parameters: enter: usecase(0: playback) kvpairs: routing=2 out->devices(2) adev->mode(0)
I/vgn     ( 1014): 45-xlb -- metadata{ service_id: 0 }
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
W/cr_Autocomplete( 5051): stopping autocomplete.
D/audio_hw_primary(  208): out_set_parameters: enter: usecase(0: playback) kvpairs: routing=2 out->devices(2) adev->mode(0)
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
W/cr_Autocomplete( 5051): stopping autocomplete.
D/audio_hw_primary(  208): out_set_parameters: enter: usecase(0: playback) kvpairs: routing=2 out->devices(2) adev->mode(0)
I/vgn     ( 1014): 45-xlb -- metadata{ service_id: 0 }
W/cr_Autocomplete( 5051): stopping autocomplete.
D/audio_hw_primary(  208): out_set_parameters: enter: usecase(0: playback) kvpairs: routing=2 out->devices(2) adev->mode(0)
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
W/cr_Autocomplete( 5051): stopping autocomplete.
I/vgn     ( 1014): 45-xlb -- metadata{ service_id: 0 }
D/audio_hw_primary(  208): out_set_parameters: enter: usecase(0: playback) kvpairs: routing=2 out->devices(2) adev->mode(0)
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
D/NuPlayerDriver(  208): stop(0xab697d18)
D/PhoneStatusBar(  613): disable: < expand ICONS* alerts SYSTEM_INFO* back home recent clock search >
D/NuPlayerDriver(  208): reset(0xab697d18)
D/NuPlayerDriver(  208): notifyResetComplete(0xab697d18)
W/cr_Autocomplete( 5051): stopping autocomplete.
D/BluetoothAdapter(  613): 182392802: getState() :  mService = null. Returning STATE_OFF
D/BluetoothAdapter(  613): 182392802: getState() :  mService = null. Returning STATE_OFF
D/BluetoothAdapter(  613): 182392802: getState() :  mService = null. Returning STATE_OFF
D/BluetoothAdapter(  613): 182392802: getState() :  mService = null. Returning STATE_OFF
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
W/BackupManagerService(  455): dataChanged but no participant pkg='com.android.providers.settings' uid=10022
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
D/PhoneStatusBar(  613): disable: < expand icons* alerts system_info* back home recent clock search >
W/InputMethodManagerService(  455): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@44a05ae attribute=null, token = android.os.BinderProxy@3cfdbef7
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
D/audio_hw_primary(  208): out_set_parameters: enter: usecase(0: playback) kvpairs: routing=2 out->devices(2) adev->mode(0)
W/ResourceType(  613): No package identifier when getting value for resource number 0x00000000
W/PackageManager(  613): Failure retrieving resources for com.android.chrome: Resource ID #0x0
I/ActivityManager(  455): START u0 {act=com.android.systemui.recents.SHOW_RECENTS flg=0x10804000 cmp=com.android.systemui/.recents.RecentsActivity} from uid 10022 on display 0
V/WindowManager(  455): addAppToken: AppWindowToken{117bf3e5 token=Token{11bf16dc ActivityRecord{33d39f4f u0 com.android.systemui/.recents.RecentsActivity t4992}}} to stack=0 task=4992 at 0
D/ConnectivityService(  455): releasing NetworkRequest NetworkRequest [ id=18, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
D/ConnectivityManager.CallbackHandler( 5051): CM callback handler got msg 524296
W/cr_Autocomplete( 5051): stopping autocomplete.
D/OpenGLRenderer(  613): setting property ambientRatio to 1.5
D/OpenGLRenderer(  613): ambientRatio = 1.50
V/WindowManager(  455): Adding window Window{3799365e u0 com.android.systemui/com.android.systemui.recents.RecentsActivity} at 4 of 18 (after Window{26ce2900 u0 com.google.android.googlequicksearchbox/com.google.android.launcher.GEL})
I/cr_BindingManager( 5051): onTrimMemory: level=20, size=1
I/ActivityManager(  455): Displayed com.android.systemui/.recents.RecentsActivity: +299ms
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
I/ActivityManager(  455): Killing 3288:com.android.defcontainer/u0a4 (adj 15): empty #17
I/ActivityManager(  455): Killing 3913:com.google.android.gms.ui/u0a8 (adj 15): empty #18
I/ActivityManager(  455): Killing 3781:com.google.android.music:main/u0a61 (adj 15): empty #19
I/ActivityManager(  455): Killing 3727:com.google.android.gm/u0a71 (adj 15): empty #20
I/ActivityManager(  455): Killing 5125:com.android.chrome:privileged_process0/u0a35 (adj 9): remove task
W/cr_ContextualSearch( 5051): Warning, the UNDEFINED state was aborted.
I/MediaFocusControl(  455):  AudioFocus  abandonAudioFocus() from android.media.AudioManager@d7d25f6org.chromium.content.browser.AudioFocusDelegate@321e4df7
I/MediaFocusControl(  455):  AudioFocus  abandonAudioFocus() from android.media.AudioManager@d7d25f6org.chromium.content.browser.AudioFocusDelegate@16b2a464
W/cr_ChildProcessConn( 5051): onServiceDisconnected (crash or killed by oom): pid=5125
I/ActivityManager(  455): Killing 5051:com.android.chrome/u0a35 (adj 9): remove task
D/ConnectivityService(  455): ConnectivityService NetworkRequestInfo binderDied(NetworkRequest [ id=15, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ], android.os.BinderProxy@62aa055)
D/ConnectivityService(  455): releasing NetworkRequest NetworkRequest [ id=15, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
E/ConnectivityService(  455): RemoteException caught trying to send a callback msg for NetworkRequest [ id=15, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
I/ActivityManager(  455): Killing 5215:com.android.chrome:sandboxed_process1/u0a35i1 (adj 9): remove task
W/libprocessgroup(  455): failed to open /acct/uid_10035/pid_5215/cgroup.procs: No such file or directory
I/ActivityManager(  455): Killing 5383:com.android.chrome:sandboxed_process3/u0a35i3 (adj 9): remove task
W/libprocessgroup(  455): failed to open /acct/uid_10035/pid_5383/cgroup.procs: No such file or directory
W/ActivityManager(  455): Scheduling restart of crashed service com.android.chrome/org.chromium.content.app.PrivilegedProcessService0 in 1000ms
I/Choreographer(  613): Skipped 38 frames!  The application may be doing too much work on its main thread.
W/ActivityManager(  455): Scheduling restart of crashed service com.android.chrome/org.chromium.content.app.SandboxedProcessService1 in 10994ms
W/ActivityManager(  455): Scheduling restart of crashed service com.android.chrome/org.chromium.content.app.SandboxedProcessService3 in 20993ms
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
D/TaskPersister(  455): removeObsoleteFile: deleting file=4990_task.xml
D/TaskPersister(  455): removeObsoleteFile: deleting file=4990_task_thumbnail.png
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
E/WifiStateMachine(  455): WifiStateMachine CMD_START_SCAN source -2 txSuccessRate=4.41 rxSuccessRate=2.90 targetRoamBSSID=any RSSI=-41
E/WifiStateMachine(  455): WifiStateMachine starting scan for "YOU SHALL NOT PASS"WPA_PSK with 2437
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
W/GmsLocationProvider( 1033): Error removing location updates: 16
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3556): Failed to read packet and byte counts from wifi interface
D/TaskPersister(  455): removeObsoleteFile: deleting file=4986_task.xml
I/ActivityManager(  455): START u0 {act=android.intent.action.MAIN cat=[android.intent.category.HOME] flg=0x10200000 cmp=com.google.android.googlequicksearchbox/com.google.android.launcher.GEL} from uid 10022 on display 0
E/LegacyNowServiceClient(  933): skipping logEndstates, service is null
W/SessionLifecycleManager( 1033): Handover failed. Creating new session controller.
D/BluetoothAdapter( 1033): 982648545: getState() :  mService = null. Returning STATE_OFF
D/BluetoothAdapter( 1033): 982648545: getState() :  mService = null. Returning STATE_OFF
I/VoiceSearchSettings( 1033): Hotword upgrade key is null!
I/OptInState( 1033): There is a new client and it does not support opt-in. Dropping request.
W/OpenGLRenderer(  933): Incorrectly called buildLayer on View: ShortcutAndWidgetContainer, destroying layer...
I/MicroDetectionWorker( 1033): #updateMicroDetector [detectionMode: [mDetectionMode: [1]]]
I/MicroDetectionWorker( 1033): #startMicroDetector [speakerMode: 0]
D/BluetoothAdapter( 1033): 982648545: getState() :  mService = null. Returning STATE_OFF
D/BluetoothAdapter( 1033): 982648545: getState() :  mService = null. Returning STATE_OFF
I/VoiceSearchSettings( 1033): Hotword upgrade key is null!
