--------- beginning of crash
F/libc    (29974): Fatal signal 11 (SIGSEGV), code 1, fault addr 0x7f859072f4 in tid 29985 (Binder_2)
I/ActivityManager(  451): Start proc 27261:com.android.chrome:privileged_process0/u0a35 for service com.android.chrome/org.chromium.content.app.PrivilegedProcessService0
D/ConnectivityService(  451): listenForNetwork for NetworkRequest [ id=339, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
D/ConnectivityService(  451): listenForNetwork for NetworkRequest [ id=340, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
I/ActivityManager(  451): Start proc 27300:com.android.chrome:sandboxed_process1/u0i322 for service com.android.chrome/org.chromium.content.app.SandboxedProcessService1
W/libprocessgroup(  451): failed to open /acct/uid_10035/pid_27300/cgroup.procs: No such file or directory
I/ActivityManager(  451): Process com.android.chrome:sandboxed_process1 (pid 27300) has died
W/ActivityManager(  451): Scheduling restart of crashed service com.android.chrome/org.chromium.content.app.SandboxedProcessService1 in 1000ms
I/ProcessStatsService(  451): Prepared write state in 14ms
I/ProcessStatsService(  451): Pruning old procstats: /data/system/procstats/state-2018-06-10-21-03-00.bin
I/ActivityManager(  451): START u0 {act=com.android.systemui.recents.SHOW_RECENTS flg=0x10804000 cmp=com.android.systemui/.recents.RecentsActivity} from uid 10022 on display 0
D/ConnectivityService(  451): releasing NetworkRequest NetworkRequest [ id=340, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
D/ConnectivityService(  451): listenForNetwork for NetworkRequest [ id=341, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
I/ActivityManager(  451): START u0 {act=com.android.systemui.recents.SHOW_RECENTS flg=0x10804000 cmp=com.android.systemui/.recents.RecentsActivity} from uid 10022 on display 0
D/ConnectivityService(  451): releasing NetworkRequest NetworkRequest [ id=341, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
W/InputMethodManagerService(  451): Starting input on non-focused client com.android.internal.view.IInputMethodClient$Stub$Proxy@1ce7af2b (uid=10035 pid=27191)
I/ActivityManager(  451): Killing 27261:com.android.chrome:privileged_process0/u0a35 (adj 9): remove task
I/ActivityManager(  451): Killing 27191:com.android.chrome/u0a35 (adj 11): remove task
D/ConnectivityService(  451): ConnectivityService NetworkRequestInfo binderDied(NetworkRequest [ id=339, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ], android.os.BinderProxy@3759546)
D/ConnectivityService(  451): releasing NetworkRequest NetworkRequest [ id=339, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
E/ConnectivityService(  451): RemoteException caught trying to send a callback msg for NetworkRequest [ id=339, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
I/ActivityManager(  451): Killing 27218:com.android.chrome:sandboxed_process0/u0a35i321 (adj 9): remove task
W/libprocessgroup(  451): failed to open /acct/uid_10035/pid_27218/cgroup.procs: No such file or directory
W/ActivityManager(  451): Scheduling restart of crashed service com.android.chrome/org.chromium.content.app.SandboxedProcessService0 in 1000ms
W/ActivityManager(  451): Scheduling restart of crashed service com.android.chrome/org.chromium.content.app.PrivilegedProcessService0 in 11000ms
I/ActivityManager(  451): START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10300000 cmp=com.quicinc.trepn/.userinterface.main.TrepnActivity} from uid 2000 on display 0
V/WindowManager(  451): addAppToken: AppWindowToken{15f41a5d token=Token{3d2e6c34 ActivityRecord{6b01307 u0 com.quicinc.trepn/.userinterface.main.TrepnActivity t3373}}} to stack=1 task=3373 at 0
D/TaskPersister(  451): removeObsoleteFile: deleting file=3375_task.xml
D/TaskPersister(  451): removeObsoleteFile: deleting file=3375_task_thumbnail.png
W/ActivityManager(  451): Launch timeout has expired, giving up wake lock!
W/BroadcastQueue(  451): Skipping deliver [background] BroadcastRecord{399dcbf7 u-1 android.net.conn.CONNECTIVITY_CHANGE} to ReceiverList{145f4a64 27642 (unknown name)/2000/u-1 remote:ade4091}: process crashing
I/ActivityManager(  451): START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.quicinc.trepn/.userinterface.main.TrepnActivity} from uid 2000 on display 0
V/WindowManager(  451): Adding window Window{f355085 u0 com.quicinc.trepn/com.quicinc.trepn.userinterface.main.TrepnActivity} at 3 of 16 (after Window{2bb582c9 u0 com.google.android.googlequicksearchbox/com.google.android.launcher.GEL})
I/ActivityManager(  451): Start proc 27657:com.google.android.talk/u0a13 for service com.google.android.talk/com.google.android.apps.hangouts.concurrent.impl.GcmTriggeredNotifier
W/ResourcesManager(27657): Asset path '/system/framework/com.google.android.media.effects.jar' does not exist or contains no resources.
D/VoldCmdListener(  151): cryptfs getpwtype
I/ActivityManager(  451): Force stopping com.quicinc.trepn appid=10091 user=0: from pid 27740
I/ActivityManager(  451): Killing 27134:com.quicinc.trepn/u0a91 (adj 0): stop com.quicinc.trepn
I/WindowState(  451): WIN DEATH: Window{f355085 u0 com.quicinc.trepn/com.quicinc.trepn.userinterface.main.TrepnActivity}
W/ActivityManager(  451): Scheduling restart of crashed service com.quicinc.trepn/.TrepnService in 1000ms
W/ActivityManager(  451): Force removing ActivityRecord{6b01307 u0 com.quicinc.trepn/.userinterface.main.TrepnActivity t3373}: app died, no saved state
I/ActivityManager(  451):   Force stopping service ServiceRecord{25f2b6df u0 com.quicinc.trepn/.TrepnService}
W/ActivityManager(  451): Spurious death for ProcessRecord{1bd93093 27134:com.quicinc.trepn/u0a91}, curProc for 27134: null
W/InputMethodManagerService(  451): Got RemoteException sending setActive(false) notification to pid 27134 uid 10091
D/WifiService(  451): acquireWifiLockLocked: WifiLock{NlpWifiLock type=2 binder=android.os.BinderProxy@3fc3bcfd}
D/WifiService(  451): releaseWifiLockLocked: WifiLock{NlpWifiLock type=2 binder=android.os.BinderProxy@3fc3bcfd}
I/ActivityManager(  451): Start proc 27775:com.quicinc.trepn/u0a91 for service com.quicinc.trepn/.TrepnService
I/ActivityManager(  451): Force stopping com.android.chrome appid=10035 user=0: from pid 27807
I/ActivityManager(  451): START u0 {act=android.intent.action.VIEW flg=0x10008000 cmp=com.android.chrome/com.google.android.apps.chrome.Main} from uid 2000 on display 0
V/WindowManager(  451): addAppToken: AppWindowToken{fe8ec5a token=Token{d5d8405 ActivityRecord{282a537c u0 com.android.chrome/com.google.android.apps.chrome.Main t3376}}} to stack=1 task=3376 at 0
I/ActivityManager(  451): Start proc 27821:com.android.chrome/u0a35 for activity com.android.chrome/com.google.android.apps.chrome.Main
W/ResourcesManager(27821): Asset path '/system/framework/com.android.media.remotedisplay.jar' does not exist or contains no resources.
W/ResourcesManager(27821): Asset path '/system/framework/com.android.location.provider.jar' does not exist or contains no resources.
I/ActivityManager(  451): START u0 {act=android.intent.action.VIEW flg=0x14002000 cmp=com.android.chrome/org.chromium.chrome.browser.ChromeTabbedActivity (has extras)} from uid 10035 on display 0
V/WindowManager(  451): addAppToken: AppWindowToken{39ebf403 token=Token{fb8acb2 ActivityRecord{3f7d2ebd u0 com.android.chrome/org.chromium.chrome.browser.ChromeTabbedActivity t3377}}} to stack=1 task=3377 at 0
V/WindowManager(  451): Based on layer: Adding window Window{2b903e98 u0 Starting com.android.chrome} at 3 of 17
I/ActivityManager(  451): Start proc 27847:com.android.chrome:sandboxed_process0/u0i323 for service com.android.chrome/org.chromium.content.app.SandboxedProcessService0
V/WindowManager(  451): Adding window Window{2b64ae61 u0 com.android.chrome/org.chromium.chrome.browser.ChromeTabbedActivity} at 3 of 18 (before Window{2b903e98 u0 Starting com.android.chrome})
V/WindowManager(  451): Adding window Window{2a9fae74 u0 SurfaceView} at 3 of 19 (before Window{2b64ae61 u0 com.android.chrome/org.chromium.chrome.browser.ChromeTabbedActivity})
I/ActivityManager(  451): Start proc 27885:com.android.chrome:privileged_process0/u0a35 for service com.android.chrome/org.chromium.content.app.PrivilegedProcessService0
D/ConnectivityService(  451): listenForNetwork for NetworkRequest [ id=342, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
D/ConnectivityService(  451): listenForNetwork for NetworkRequest [ id=343, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
I/ActivityManager(  451): Start proc 27978:com.android.chrome:sandboxed_process1/u0i324 for service com.android.chrome/org.chromium.content.app.SandboxedProcessService1
I/ActivityManager(  451): Start proc 27999:com.android.chrome:sandboxed_process2/u0i325 for service com.android.chrome/org.chromium.content.app.SandboxedProcessService2
D/WifiService(  451): acquireWifiLockLocked: WifiLock{NlpWifiLock type=2 binder=android.os.BinderProxy@16734dc7}
W/libprocessgroup(  451): failed to open /acct/uid_10035/pid_27999/cgroup.procs: No such file or directory
I/ActivityManager(  451): Process com.android.chrome:sandboxed_process2 (pid 27999) has died
W/ActivityManager(  451): Scheduling restart of crashed service com.android.chrome/org.chromium.content.app.SandboxedProcessService2 in 1000ms
D/WifiService(  451): releaseWifiLockLocked: WifiLock{NlpWifiLock type=2 binder=android.os.BinderProxy@16734dc7}
W/Telecom (  451): TelecomServiceImpl: null is not visible for the calling user
I/ActivityManager(  451): START u0 {act=android.settings.WIFI_SETTINGS flg=0x14000000 cmp=com.android.settings/.Settings$WifiSettingsActivity (has extras)} from uid 10022 on display 0
W/InputMethodManagerService(  451): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@35a77c66 attribute=null, token = android.os.BinderProxy@395c7dc8
V/WindowManager(  451): addAppToken: AppWindowToken{139803fd token=Token{1aef7854 ActivityRecord{3d1b3ba7 u0 com.android.settings/.Settings$WifiSettingsActivity t3378}}} to stack=1 task=3378 at 0
V/WindowManager(  451): Adding window Window{e60b44a u0 Starting com.android.settings} at 5 of 19 (after Window{2b64ae61 u0 com.android.chrome/org.chromium.chrome.browser.ChromeTabbedActivity})
D/ConnectivityService(  451): releasing NetworkRequest NetworkRequest [ id=343, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
I/ActivityManager(  451): Start proc 28059:com.android.settings/1000 for activity com.android.settings/.Settings$WifiSettingsActivity
D/WifiService(  451): New client listening to asynchronous messages
V/WindowManager(  451): Adding window Window{2aa63a1c u0 Crunch} at 5 of 20 (before Window{e60b44a u0 Starting com.android.settings})
V/WindowManager(  451): Adding window Window{1ce8327f u0 com.android.settings/com.android.settings.Settings$WifiSettingsActivity} at 5 of 21 (before Window{2aa63a1c u0 Crunch})
I/ActivityManager(  451): Process com.opera.browser:alarm_receiver (pid 24994) has died
I/ActivityManager(  451): Process com.halfbrick.fruitninjafree (pid 19717) has died
W/ActivityManager(  451): Scheduling restart of crashed service com.halfbrick.fruitninjafree/com.otherlevels.android.sdk.OLService in 1000ms
I/ActivityManager(  451): Process com.google.android.apps.plus (pid 24806) has died
I/ActivityManager(  451): Process android.process.acore (pid 25034) has died
I/ActivityManager(  451): Process com.google.android.apps.photos (pid 24781) has died
I/WindowState(  451): WIN DEATH: Window{33d2c78c u0 com.estrongs.android.pop}
I/libprocessgroup(  451): Killing pid 18256 in uid 10089 as part of process group 17535
D/WifiService(  451): Client connection lost with reason: 4
I/libprocessgroup(  451): Killing pid 18256 in uid 10089 as part of process group 17535
I/libprocessgroup(  451): Killing pid 18256 in uid 10089 as part of process group 17535
I/libprocessgroup(  451): Killing pid 18256 in uid 10089 as part of process group 17535
I/libprocessgroup(  451): Killing pid 18256 in uid 10089 as part of process group 17535
I/libprocessgroup(  451): Killing pid 18256 in uid 10089 as part of process group 17535
I/libprocessgroup(  451): Killing pid 18256 in uid 10089 as part of process group 17535
I/WindowState(  451): WIN DEATH: Window{813adf4 u0 com.estrongs.android.pop}
I/WindowState(  451): WIN DEATH: Window{36fb3792 u0 com.estrongs.android.pop}
I/libprocessgroup(  451): Killing pid 18256 in uid 10089 as part of process group 17535
I/WindowState(  451): WIN DEATH: Window{2daad078 u0 com.estrongs.android.pop}
I/WindowState(  451): WIN DEATH: Window{1f20b3d u0 com.estrongs.android.pop}
I/libprocessgroup(  451): Killing pid 18256 in uid 10089 as part of process group 17535
I/WindowState(  451): WIN DEATH: Window{eb7b560 u0 com.estrongs.android.pop}
I/WindowState(  451): WIN DEATH: Window{27113ade u0 com.estrongs.android.pop}
I/WindowState(  451): WIN DEATH: Window{3ff226ea u0 com.estrongs.android.pop}
I/ActivityManager(  451): Process com.estrongs.android.pop (pid 17535) has died
W/ActivityManager(  451): Scheduling restart of crashed service com.estrongs.android.pop/com.android.apps.pros.LocalMService in 1000ms
W/ActivityManager(  451): Scheduling restart of crashed service com.estrongs.android.pop/com.estrongs.android.scanner.service.FileScannerService in 11000ms
I/ActivityManager(  451): Start proc 28085:com.estrongs.android.pop/u0a89 for service com.estrongs.android.pop/com.android.apps.pros.LocalMService
--------- beginning of main
W/System.err(22108): 	at android.os.Messenger.send(Messenger.java:57)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.c.onEvent(Unknown Source)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.onEvent(FileObserver.java:122)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.observe(Native Method)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.run(FileObserver.java:85)
W/System.err(22108): android.os.DeadObjectException
W/System.err(22108): 	at android.os.BinderProxy.transactNative(Native Method)
W/System.err(22108): 	at android.os.BinderProxy.transact(Binder.java:496)
W/System.err(22108): 	at android.os.IMessenger$Stub$Proxy.send(IMessenger.java:89)
W/System.err(22108): 	at android.os.Messenger.send(Messenger.java:57)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.c.onEvent(Unknown Source)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.onEvent(FileObserver.java:122)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.observe(Native Method)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.run(FileObserver.java:85)
W/System.err(22108): android.os.DeadObjectException
W/System.err(22108): 	at android.os.BinderProxy.transactNative(Native Method)
W/System.err(22108): 	at android.os.BinderProxy.transact(Binder.java:496)
W/System.err(22108): 	at android.os.IMessenger$Stub$Proxy.send(IMessenger.java:89)
W/System.err(22108): 	at android.os.Messenger.send(Messenger.java:57)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.c.onEvent(Unknown Source)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.onEvent(FileObserver.java:122)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.observe(Native Method)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.run(FileObserver.java:85)
W/System.err(22108): android.os.DeadObjectException
W/System.err(22108): 	at android.os.BinderProxy.transactNative(Native Method)
W/System.err(22108): 	at android.os.BinderProxy.transact(Binder.java:496)
W/System.err(22108): 	at android.os.IMessenger$Stub$Proxy.send(IMessenger.java:89)
W/System.err(22108): 	at android.os.Messenger.send(Messenger.java:57)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.c.onEvent(Unknown Source)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.onEvent(FileObserver.java:122)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.observe(Native Method)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.run(FileObserver.java:85)
W/System.err(22108): android.os.DeadObjectException
W/System.err(22108): 	at android.os.BinderProxy.transactNative(Native Method)
W/System.err(22108): 	at android.os.BinderProxy.transact(Binder.java:496)
W/System.err(22108): 	at android.os.IMessenger$Stub$Proxy.send(IMessenger.java:89)
W/System.err(22108): 	at android.os.Messenger.send(Messenger.java:57)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.c.onEvent(Unknown Source)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.onEvent(FileObserver.java:122)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.observe(Native Method)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.run(FileObserver.java:85)
W/System.err(22108): android.os.DeadObjectException
W/System.err(22108): 	at android.os.BinderProxy.transactNative(Native Method)
W/System.err(22108): 	at android.os.BinderProxy.transact(Binder.java:496)
W/System.err(22108): 	at android.os.IMessenger$Stub$Proxy.send(IMessenger.java:89)
W/System.err(22108): 	at android.os.Messenger.send(Messenger.java:57)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.c.onEvent(Unknown Source)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.onEvent(FileObserver.java:122)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.observe(Native Method)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.run(FileObserver.java:85)
W/System.err(22108): android.os.DeadObjectException
W/System.err(22108): 	at android.os.BinderProxy.transactNative(Native Method)
W/System.err(22108): 	at android.os.BinderProxy.transact(Binder.java:496)
W/System.err(22108): 	at android.os.IMessenger$Stub$Proxy.send(IMessenger.java:89)
W/System.err(22108): 	at android.os.Messenger.send(Messenger.java:57)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.c.onEvent(Unknown Source)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.onEvent(FileObserver.java:122)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.observe(Native Method)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.run(FileObserver.java:85)
W/System.err(22108): android.os.DeadObjectException
W/System.err(22108): 	at android.os.BinderProxy.transactNative(Native Method)
W/System.err(22108): 	at android.os.BinderProxy.transact(Binder.java:496)
W/System.err(22108): 	at android.os.IMessenger$Stub$Proxy.send(IMessenger.java:89)
W/System.err(22108): 	at android.os.Messenger.send(Messenger.java:57)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.c.onEvent(Unknown Source)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.onEvent(FileObserver.java:122)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.observe(Native Method)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.run(FileObserver.java:85)
W/System.err(22108): android.os.DeadObjectException
W/System.err(22108): 	at android.os.BinderProxy.transactNative(Native Method)
W/System.err(22108): 	at android.os.BinderProxy.transact(Binder.java:496)
W/System.err(22108): 	at android.os.IMessenger$Stub$Proxy.send(IMessenger.java:89)
W/System.err(22108): 	at android.os.Messenger.send(Messenger.java:57)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.c.onEvent(Unknown Source)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.onEvent(FileObserver.java:122)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.observe(Native Method)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.run(FileObserver.java:85)
W/System.err(22108): android.os.DeadObjectException
W/System.err(22108): 	at android.os.BinderProxy.transactNative(Native Method)
W/System.err(22108): 	at android.os.BinderProxy.transact(Binder.java:496)
W/System.err(22108): 	at android.os.IMessenger$Stub$Proxy.send(IMessenger.java:89)
W/System.err(22108): 	at android.os.Messenger.send(Messenger.java:57)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.c.onEvent(Unknown Source)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.onEvent(FileObserver.java:122)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.observe(Native Method)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.run(FileObserver.java:85)
W/System.err(22108): android.os.DeadObjectException
W/System.err(22108): 	at android.os.BinderProxy.transactNative(Native Method)
W/System.err(22108): 	at android.os.BinderProxy.transact(Binder.java:496)
W/System.err(22108): 	at android.os.IMessenger$Stub$Proxy.send(IMessenger.java:89)
W/System.err(22108): 	at android.os.Messenger.send(Messenger.java:57)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.c.onEvent(Unknown Source)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.onEvent(FileObserver.java:122)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.observe(Native Method)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.run(FileObserver.java:85)
W/System.err(22108): android.os.DeadObjectException
W/System.err(22108): 	at android.os.BinderProxy.transactNative(Native Method)
W/System.err(22108): 	at android.os.BinderProxy.transact(Binder.java:496)
W/System.err(22108): 	at android.os.IMessenger$Stub$Proxy.send(IMessenger.java:89)
W/System.err(22108): 	at android.os.Messenger.send(Messenger.java:57)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.c.onEvent(Unknown Source)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.onEvent(FileObserver.java:122)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.observe(Native Method)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.run(FileObserver.java:85)
W/System.err(22108): android.os.DeadObjectException
W/System.err(22108): 	at android.os.BinderProxy.transactNative(Native Method)
W/System.err(22108): 	at android.os.BinderProxy.transact(Binder.java:496)
W/System.err(22108): 	at android.os.IMessenger$Stub$Proxy.send(IMessenger.java:89)
W/System.err(22108): 	at android.os.Messenger.send(Messenger.java:57)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.c.onEvent(Unknown Source)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.onEvent(FileObserver.java:122)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.observe(Native Method)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.run(FileObserver.java:85)
W/System.err(22108): android.os.DeadObjectException
W/System.err(22108): 	at android.os.BinderProxy.transactNative(Native Method)
W/System.err(22108): 	at android.os.BinderProxy.transact(Binder.java:496)
W/System.err(22108): 	at android.os.IMessenger$Stub$Proxy.send(IMessenger.java:89)
W/System.err(22108): 	at android.os.Messenger.send(Messenger.java:57)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.c.onEvent(Unknown Source)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.onEvent(FileObserver.java:122)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.observe(Native Method)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.run(FileObserver.java:85)
W/System.err(22108): android.os.DeadObjectException
W/System.err(22108): 	at android.os.BinderProxy.transactNative(Native Method)
W/System.err(22108): 	at android.os.BinderProxy.transact(Binder.java:496)
W/System.err(22108): 	at android.os.IMessenger$Stub$Proxy.send(IMessenger.java:89)
W/System.err(22108): 	at android.os.Messenger.send(Messenger.java:57)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.c.onEvent(Unknown Source)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.onEvent(FileObserver.java:122)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.observe(Native Method)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.run(FileObserver.java:85)
W/System.err(22108): android.os.DeadObjectException
W/System.err(22108): 	at android.os.BinderProxy.transactNative(Native Method)
W/System.err(22108): 	at android.os.BinderProxy.transact(Binder.java:496)
W/System.err(22108): 	at android.os.IMessenger$Stub$Proxy.send(IMessenger.java:89)
W/System.err(22108): 	at android.os.Messenger.send(Messenger.java:57)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.c.onEvent(Unknown Source)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.onEvent(FileObserver.java:122)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.observe(Native Method)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.run(FileObserver.java:85)
W/System.err(22108): android.os.DeadObjectException
W/System.err(22108): 	at android.os.BinderProxy.transactNative(Native Method)
W/System.err(22108): 	at android.os.BinderProxy.transact(Binder.java:496)
W/System.err(22108): 	at android.os.IMessenger$Stub$Proxy.send(IMessenger.java:89)
W/System.err(22108): 	at android.os.Messenger.send(Messenger.java:57)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.c.onEvent(Unknown Source)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.onEvent(FileObserver.java:122)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.observe(Native Method)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.run(FileObserver.java:85)
W/System.err(22108): android.os.DeadObjectException
W/System.err(22108): 	at android.os.BinderProxy.transactNative(Native Method)
W/System.err(22108): 	at android.os.BinderProxy.transact(Binder.java:496)
W/System.err(22108): 	at android.os.IMessenger$Stub$Proxy.send(IMessenger.java:89)
W/System.err(22108): 	at android.os.Messenger.send(Messenger.java:57)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.l.a(Unknown Source)
W/System.err(22108): 	at com.estrongs.android.scanner.service.c.onEvent(Unknown Source)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.onEvent(FileObserver.java:122)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.observe(Native Method)
W/System.err(22108): 	at android.os.FileObserver$ObserverThread.run(FileObserver.java:85)
W/System.err(22108): android.os.DeadObjectException
W/System.err(22108): 	at android.os.BinderProxy.transactNative(Native Method)
W/System.err(22108): 	at android.os.BinderProxy.transact(Binder.java:496)
W/System.err(22108): 	at android.os.IMessenger$Stub$Proxy.send(IMessenger.java:89)
W/System.err(22108): 	at android.os.Messenger.send(Messenger.java:57)
