--------- beginning of crash
F/libc    (29974): Fatal signal 11 (SIGSEGV), code 1, fault addr 0x7f859072f4 in tid 29985 (Binder_2)
D/ConnectivityManager.CallbackHandler(  987): CM callback handler got msg 524290
D/ConnectivityManager.CallbackHandler(15005): CM callback handler got msg 524290
D/ConnectivityManager.CallbackHandler(28589): CM callback handler got msg 524290
D/ConnectivityManager.CallbackHandler(  987): CM callback handler got msg 524290
D/ConnectivityManager.CallbackHandler(  987): CM callback handler got msg 524290
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 126] to 60
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 126] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 126]
D/ConnectivityManager.CallbackHandler(15005): CM callback handler got msg 524290
D/ConnectivityManager.CallbackHandler(28589): CM callback handler got msg 524290
D/ConnectivityManager.CallbackHandler(  987): CM callback handler got msg 524290
D/ConnectivityManager.CallbackHandler(  987): CM callback handler got msg 524290
D/ConnectivityManager.CallbackHandler(  987): CM callback handler got msg 524290
D/ConnectivityManager.CallbackHandler(  627): CM callback handler got msg 524290
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
E/WifiStateMachine(  451): WifiStateMachine CMD_START_SCAN source -2 txSuccessRate=0.02 rxSuccessRate=0.02 targetRoamBSSID=any RSSI=-60
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
I/vgn     (  965): 35-GetDeviceDataUploadOptInStatusOperation -- metadata{ service_id: 0 }
I/vgn     (  965): 35-GetDeviceDataUploadOptInStatusOperation -- metadata{ service_id: 0 }
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
E/WifiStateMachine(  451): WifiStateMachine CMD_START_SCAN source -2 txSuccessRate=0.00 rxSuccessRate=0.00 targetRoamBSSID=any RSSI=-60
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
D/AndroidRuntime( 3078): >>>>>> START com.android.internal.os.RuntimeInit uid 2000 <<<<<<
D/AndroidRuntime( 3078): CheckJNI is OFF
D/AndroidRuntime( 3078): Calling main entry com.android.commands.am.Am
I/Trepn   (31712): Trepn 6.2s: Received intent: com.quicinc.trepn.stop_profiling
D/AndroidRuntime( 3078): Shutting down VM
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
D/AndroidRuntime( 3105): >>>>>> START com.android.internal.os.RuntimeInit uid 2000 <<<<<<
D/AndroidRuntime( 3105): CheckJNI is OFF
D/AndroidRuntime( 3105): Calling main entry com.android.commands.am.Am
D/AndroidRuntime( 3105): Shutting down VM
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
D/AndroidRuntime( 3119): >>>>>> START com.android.internal.os.RuntimeInit uid 2000 <<<<<<
D/AndroidRuntime( 3119): CheckJNI is OFF
D/AndroidRuntime( 3119): Calling main entry com.android.commands.am.Am
I/ActivityManager(  451): Force stopping com.android.chrome appid=10035 user=0: from pid 3119
I/ActivityManager(  451): Killing 2865:com.android.chrome/u0a35 (adj 9): stop com.android.chrome
W/ActivityManager(  451): Spurious death for ProcessRecord{398a3f21 2865:com.android.chrome/u0a35}, curProc for 2865: null
D/AndroidRuntime( 3119): Shutting down VM
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
D/AndroidRuntime( 3131): >>>>>> START com.android.internal.os.RuntimeInit uid 2000 <<<<<<
D/AndroidRuntime( 3131): CheckJNI is OFF
D/AndroidRuntime( 3131): Calling main entry com.android.commands.pm.Pm
I/ActivityManager(  451): Force stopping com.android.chrome appid=10035 user=0: clear data
I/GeofencerStateMachine(  965): removeGeofences: removeRequest=RemoveGeofencingRequest[REMOVE_ALL packageName=com.android.chrome]
D/Documents(29335): Update found 8 roots in 9ms
I/LocationSettingsChecker(  987): Removing dialog suppression flag for package com.android.chrome
I/Icing   (  987): doRemovePackageData com.android.chrome
I/Icing   (  987): Removing corpus key 94FBE96EEF13B8AC56FE8C01687FD8A6012559AC for package com.android.chrome
I/art     ( 3131): System.exit called, status: 0
I/AndroidRuntime( 3131): VM exiting with result code 0.
I/Icing   (  987): updateResources: need to parse xax{com.android.chrome}
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
I/Icing   (  987): Indexing 94FBE96EEF13B8AC56FE8C01687FD8A6012559AC from com.android.chrome
I/ActivityManager(  451): Start proc 3160:com.android.chrome/u0a35 for content provider com.android.chrome/com.google.android.apps.chrome.icing.IcingProvider
W/DynamiteModule( 3160): Local module descriptor class for com.google.android.gms.googlecertificates not found.
I/DynamiteModule( 3160): Considering local module com.google.android.gms.googlecertificates:0 and remote module com.google.android.gms.googlecertificates:4
I/DynamiteModule( 3160): Selected remote version of com.google.android.gms.googlecertificates, version >= 4
W/ResourcesManager( 3160): Asset path '/system/framework/com.android.media.remotedisplay.jar' does not exist or contains no resources.
W/ResourcesManager( 3160): Asset path '/system/framework/com.android.location.provider.jar' does not exist or contains no resources.
I/Icing   (  987): Indexing done 94FBE96EEF13B8AC56FE8C01687FD8A6012559AC
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 126] to 56
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 126] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 126]
D/ConnectivityManager.CallbackHandler(  627): CM callback handler got msg 524290
D/ConnectivityManager.CallbackHandler(  987): CM callback handler got msg 524290
D/ConnectivityManager.CallbackHandler(15005): CM callback handler got msg 524290
D/ConnectivityManager.CallbackHandler(  987): CM callback handler got msg 524290
D/ConnectivityManager.CallbackHandler(28589): CM callback handler got msg 524290
D/ConnectivityManager.CallbackHandler(  987): CM callback handler got msg 524290
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 126] to 60
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 126] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 126]
D/ConnectivityManager.CallbackHandler(  627): CM callback handler got msg 524290
D/ConnectivityManager.CallbackHandler(15005): CM callback handler got msg 524290
D/ConnectivityManager.CallbackHandler(28589): CM callback handler got msg 524290
D/ConnectivityManager.CallbackHandler(  987): CM callback handler got msg 524290
D/ConnectivityManager.CallbackHandler(  987): CM callback handler got msg 524290
D/ConnectivityManager.CallbackHandler(  987): CM callback handler got msg 524290
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
E/WifiStateMachine(  451): WifiStateMachine CMD_START_SCAN source -2 txSuccessRate=0.00 rxSuccessRate=0.00 targetRoamBSSID=any RSSI=-59
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
E/WifiStateMachine(  451): WifiStateMachine CMD_START_SCAN source -2 txSuccessRate=0.00 rxSuccessRate=0.00 targetRoamBSSID=any RSSI=-57
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
I/DeviceStateChecker(15005): screenOn: true, isCharging: true
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
I/art     (  451): Explicit concurrent mark sweep GC freed 112082(5MB) AllocSpace objects, 66(3MB) LOS objects, 33% free, 30MB/45MB, paused 1.358ms total 179.581ms
I/vgn     (  965): 35-GetDeviceDataUploadOptInStatusOperation -- metadata{ service_id: 0 }
I/vgn     (  965): 35-GetDeviceDataUploadOptInStatusOperation -- metadata{ service_id: 0 }
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
E/WifiStateMachine(  451): WifiStateMachine CMD_START_SCAN source -2 txSuccessRate=0.00 rxSuccessRate=0.00 targetRoamBSSID=any RSSI=-59
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
E/WifiStateMachine(  451): WifiStateMachine CMD_START_SCAN source -2 txSuccessRate=0.00 rxSuccessRate=0.00 targetRoamBSSID=any RSSI=-58
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Process ( 3458): Unable to open /proc/3316/status
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
E/WifiStateMachine(  451): WifiStateMachine CMD_START_SCAN source -2 txSuccessRate=0.00 rxSuccessRate=0.00 targetRoamBSSID=any RSSI=-57
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
I/vgn     (  965): 35-GetDeviceDataUploadOptInStatusOperation -- metadata{ service_id: 0 }
I/vgn     (  965): 35-GetDeviceDataUploadOptInStatusOperation -- metadata{ service_id: 0 }
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
E/WifiStateMachine(  451): WifiStateMachine CMD_START_SCAN source -2 txSuccessRate=0.00 rxSuccessRate=0.00 targetRoamBSSID=any RSSI=-58
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
E/WifiStateMachine(  451): WifiStateMachine CMD_START_SCAN source -2 txSuccessRate=0.00 rxSuccessRate=0.00 targetRoamBSSID=any RSSI=-57
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
E/WifiStateMachine(  451): WifiStateMachine CMD_START_SCAN source -2 txSuccessRate=0.52 rxSuccessRate=2.02 targetRoamBSSID=any RSSI=-58
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
I/vgn     (  965): 35-GetDeviceDataUploadOptInStatusOperation -- metadata{ service_id: 0 }
I/vgn     (  965): 35-GetDeviceDataUploadOptInStatusOperation -- metadata{ service_id: 0 }
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
D/AndroidRuntime( 3569): >>>>>> START com.android.internal.os.RuntimeInit uid 10089 <<<<<<
D/AndroidRuntime( 3569): CheckJNI is OFF
I/PlayCommon(28454): [2256] PlayEventLogger.uploadEventsImpl: Preparing logs for uploading
I/PlayCommon(28454): [2256] PlayEventLogger.uploadEventsImpl: No file ready to send
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
D/AndroidRuntime( 3569): Calling main entry com.android.commands.am.Am
D/AndroidRuntime( 3569): Shutting down VM
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
D/AndroidRuntime( 3636): >>>>>> START com.android.internal.os.RuntimeInit uid 2000 <<<<<<
D/AndroidRuntime( 3636): CheckJNI is OFF
D/AndroidRuntime( 3636): Calling main entry com.android.commands.pm.Pm
I/art     ( 3636): System.exit called, status: 0
I/AndroidRuntime( 3636): VM exiting with result code 0.
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
E/WifiStateMachine(  451): WifiStateMachine CMD_START_SCAN source -2 txSuccessRate=0.02 rxSuccessRate=0.02 targetRoamBSSID=any RSSI=-58
D/AndroidRuntime( 3649): >>>>>> START com.android.internal.os.RuntimeInit uid 2000 <<<<<<
D/AndroidRuntime( 3649): CheckJNI is OFF
D/AndroidRuntime( 3649): Calling main entry com.android.commands.pm.Pm
I/art     ( 3649): System.exit called, status: 0
I/AndroidRuntime( 3649): VM exiting with result code 0.
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
D/AndroidRuntime( 3685): >>>>>> START com.android.internal.os.RuntimeInit uid 2000 <<<<<<
D/AndroidRuntime( 3685): CheckJNI is OFF
D/AndroidRuntime( 3685): Calling main entry com.android.commands.monkey.Monkey
W/BroadcastQueue(  451): Skipping deliver [background] BroadcastRecord{f63a1bf u-1 android.net.conn.CONNECTIVITY_CHANGE} to ReceiverList{16e408c 3685 (unknown name)/2000/u-1 remote:355ddf19}: process crashing
I/ActivityManager(  451): START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.quicinc.trepn/.userinterface.main.TrepnActivity} from uid 2000 on display 0
V/WindowManager(  451): addAppToken: AppWindowToken{25ba9adb token=Token{2d80c7ea ActivityRecord{2be453d5 u0 com.quicinc.trepn/.userinterface.main.TrepnActivity t3814}}} to stack=1 task=3814 at 0
I/ActivityManager(  451): Killing 28454:com.google.android.music:main/u0a61 (adj 15): empty for 1807s
V/WindowManager(  451): Adding window Window{23de6a42 u0 Starting com.quicinc.trepn} at 3 of 16 (after Window{2bb582c9 u0 com.google.android.googlequicksearchbox/com.google.android.launcher.GEL})
I/CwMcuSensor(  451): CwMcuSensor::flush: fd = 257, sensors_id = 0, path = /sys/class/htc_sensorhub/sensor_hub/flush, err = 0
I/art     ( 3685): System.exit called, status: 0
I/AndroidRuntime( 3685): VM exiting with result code 0.
V/WindowManager(  451): Adding window Window{3b1d90a8 u0 com.quicinc.trepn/com.quicinc.trepn.userinterface.main.TrepnActivity} at 3 of 17 (before Window{23de6a42 u0 Starting com.quicinc.trepn})
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
I/ActivityManager(  451): Displayed com.quicinc.trepn/.userinterface.main.TrepnActivity: +852ms (total +6m17s728ms)
I/PBSessionCacheImpl(15005): Deleted sessionId[13690465809337] from persistence.
I/MicroDetector(15005): Keeping mic open: false
I/DeviceStateChecker(15005): DeviceStateChecker cancelled
I/MicroRecognitionRunner(15005): Stopping hotword detection.
I/MicroRecognitionRunner(15005): Detection finished
I/AudioController(15005): internalShutdown
I/MicrophoneInputStream(15005): mic_close com.google.android.apps.gsa.speech.audio.af@2596adf4
I/SoundTriggerHwService::Module(  205): void android::SoundTriggerHwService::Module::onCallbackEvent(const android::sp<android::SoundTriggerHwService::CallbackEvent>&) mClient == 0
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
D/TaskPersister(  451): removeObsoleteFile: deleting file=3790_task.xml
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
D/AndroidRuntime( 3737): >>>>>> START com.android.internal.os.RuntimeInit uid 2000 <<<<<<
D/AndroidRuntime( 3737): CheckJNI is OFF
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
D/AndroidRuntime( 3737): Calling main entry com.android.commands.am.Am
I/Trepn   (31712): Trepn 6.2s: Received intent: com.quicinc.trepn.load_preferences; filename: /sdcard/trepn/saved_preferences/trepn.pref
D/AndroidRuntime( 3737): Shutting down VM
I/vgn     (  965): 67-RequestPlaceUpdates -- metadata{ service_id: 0 }
I/vgn     (  965): 67-RemovePlaceUpdates -- metadata{ service_id: 0 }
I/Places  (  965): ?: PlacesBleScanner stop()
I/BeaconBle(  965): Scan canceled successfully.
I/PlaceInferenceEngine(  965): [anon] Changed inference mode: 0
I/GeofencerStateMachine(  965): removeGeofences: removeRequest=RemoveGeofencingRequest[REMOVE_BY_PENDING_INTENT pendingIntent=PendingIntent[creatorPackage=com.google.android.gms], packageName=null]
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
D/AndroidRuntime( 3761): >>>>>> START com.android.internal.os.RuntimeInit uid 2000 <<<<<<
D/AndroidRuntime( 3761): CheckJNI is OFF
W/Wifi    ( 3458): Failed to read packet and byte counts from wifi interface
D/AndroidRuntime( 3761): Calling main entry com.android.commands.am.Am
I/ActivityManager(  451): Force stopping com.quicinc.trepn appid=10091 user=0: from pid 3761
I/ActivityManager(  451): Killing 31712:com.quicinc.trepn/u0a91 (adj 0): stop com.quicinc.trepn
W/InputDispatcher(  451): channel '3b1d90a8 com.quicinc.trepn/com.quicinc.trepn.userinterface.main.TrepnActivity (server)' ~ Consumer closed input channel or an error occurred.  events=0x9
E/InputDispatcher(  451): channel '3b1d90a8 com.quicinc.trepn/com.quicinc.trepn.userinterface.main.TrepnActivity (server)' ~ Channel is unrecoverably broken and will be disposed!
I/WindowState(  451): WIN DEATH: Window{3b1d90a8 u0 com.quicinc.trepn/com.quicinc.trepn.userinterface.main.TrepnActivity}
